Barcode,No. Panggil,Tipe Koleksi,No. Inventaris,Tanggal Penerima (Bulan/Tanggal/Tahun,,,Lokasi,Tanggal Pemesanan (Bulan/Tanggal/Tahun,,,Hadiah,,Harga,,Tanggal Faktur (Bulan/Tanggal/Tahun,,,Judul
<SMKPGRI1-289>,741.5592 TAK k,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-256>,423 DES k,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-256b>,423 DES k,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-256c>,423 DES k,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-1022>,923.5 ANH h,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-1022b>,923.5 ANH h,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-120>,813 DED b,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-121>,813 DAM b,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-363>,813 ANN b,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-1022>,923.5 ANH h,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-1022b>,923.5 ANH h,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-356>,813 ANN n,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-8>,813 ANW p,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
